idx,lat,lon
118,51.5095958,-0.0845778
119,51.5131712,-0.092967
120,51.5136028,-0.0896941
121,51.5127675,-0.0943998
122,51.5119495,-0.0938312
123,51.511243,-0.0939804
124,51.5117231,-0.0920992
125,51.5108207,-0.0910949
126,51.5114771,-0.0908185
127,51.5107509,-0.0911234
128,51.510371,-0.0895839
129,51.5104997,-0.0894718
130,51.5109361,-0.0896324
131,51.5107631,-0.0892408
132,51.5106223,-0.0888853
133,51.5107195,-0.0892897
134,51.5105903,-0.0887146
135,51.5100781,-0.0886189
136,51.5105127,-0.0883743
137,51.5104138,-0.0878996
138,51.5104664,-0.0881549
139,51.510489,-0.0882666
140,51.5105956,-0.0877852
141,51.5125763,-0.0858832
142,51.5183413,-0.1059857
143,51.5131924,-0.0924084
144,51.5129269,-0.091407
145,51.5121571,-0.094857
146,51.5111504,-0.0929813
147,51.5118149,-0.0927834
148,51.5114138,-0.0892708
149,51.5111775,-0.087969
150,51.5110855,-0.0874943
151,51.5137922,-0.092088
152,51.5150167,-0.0913608
153,51.5108894,-0.0930559
154,51.5098383,-0.0882669
155,51.5141593,-0.0857547
156,51.512248,-0.0862621
157,51.5133669,-0.0860711
158,51.509601,-0.0864045
159,51.5230553,-0.0974359
160,51.5231738,-0.0971143
161,51.5127874,-0.101265
162,51.5214767,-0.0942694
163,51.5213918,-0.0953525
164,51.5209885,-0.0954509
165,51.5209633,-0.0959583
166,51.5127618,-0.1033458
167,51.519751,-0.091093
168,51.5208402,-0.0905565
169,51.5199113,-0.0899387
170,51.5118632,-0.1068692
171,51.5127057,-0.1068824
172,51.5159472,-0.0955172
173,51.516754,-0.0956633
174,51.5172207,-0.0953972
175,51.5160685,-0.0960542
176,51.5160541,-0.0960215
177,51.5163179,-0.0969573
178,51.51057,-0.0749979
179,51.510517,-0.0755586
180,51.5106885,-0.0792227
181,51.5109622,-0.0801671
182,51.5116588,-0.0773355
183,51.5116147,-0.0753004
184,51.5115977,-0.0758371
185,51.5126879,-0.0755849
186,51.5132604,-0.0762238
187,51.5135049,-0.0768496
188,51.5195623,-0.0991732
189,51.5202618,-0.0996645
190,51.5198747,-0.0981176
191,51.5196921,-0.0979791
192,51.5195166,-0.0978361
193,51.5193513,-0.0989512
194,51.5189286,-0.0988668
195,51.5132524,-0.0776916
196,51.5126757,-0.0786779
197,51.517409,-0.0866291
198,51.5177058,-0.0855519
199,51.517571,-0.0846852
200,51.518249,-0.0797618
201,51.5184258,-0.0796524
202,51.5166062,-0.1066027
203,51.5159105,-0.1089781
204,51.5165056,-0.1081746
205,51.5153422,-0.1094742
206,51.5160436,-0.1092208
207,51.5156832,-0.1073464
208,51.5170022,-0.1109298
209,51.5164796,-0.1111526
210,51.5165277,-0.1104565
211,51.5168046,-0.1104445
212,51.5167952,-0.1091167
213,51.5165488,-0.1100811
214,51.5172181,-0.1033218
215,51.5173457,-0.1037207
216,51.5178032,-0.103462
217,51.5182874,-0.1030586
218,51.5118358,-0.0771552
219,51.5187569,-0.1041703
220,51.5172209,-0.1014405
221,51.5110122,-0.0795181
222,51.515836,-0.0971039
223,51.5176737,-0.0978248
224,51.5173286,-0.0984885
225,51.5194162,-0.0977772
226,51.5205286,-0.0986552
227,51.5221893,-0.0974779
228,51.5137861,-0.1007102
229,51.5139021,-0.101947
230,51.5137317,-0.1027876
231,51.5140145,-0.1026618
232,51.5127379,-0.1033442
233,51.5131571,-0.1012297
234,51.5135126,-0.0999968
235,51.5130316,-0.1002148
236,51.5124928,-0.0984649
237,51.512422,-0.0984645
238,51.512568,-0.0984576
239,51.5118397,-0.1014812
240,51.5114514,-0.0979735
